comment_id,parent_id,author,text,published,like_count,is_top_level
Ugw85bc36oNpTBGaNRV4AaABAg,root,@WaveKing12,3:05 damn that’s actually pretty close to the real one i’m from the future and the iphone 16 and 17 are out the 17 looks like a damn android,1740873600,3,
UgwBQiIG7wVkqQWvetJ4AaABAg,root,@dheerajgolabharatpur9338,Whats going on with this camera bump ? Why are some models with only two cameras? 😮😮😮😮😮,1738454400,0,
Ugz38DJfC6-2mKlJY7l4AaABAg,root,@mariaf2087,Camera lay out suck I still prefer my iPhone 15,1738454400,0,
UgyP9mG4PnqWMhA7_eh4AaABAg,root,@JordanGodfrey-o6n,May I please have your older version iphone I have a old crazy android please bro,1735776000,0,
UgxSF5ZvF_VXRxEXKqx4AaABAg,root,@aaronlim5958,Hi guys I got an iPhone SE 3rd gen with me just two years but the Home Screen is not working . So should I change to iPhone 15 or new 16 ? Please give me some suggestions,1730505600,0,
UgwG9InlOXULfXVha254AaABAg,root,@MohamedNAsherif,"Apple focuses on the advertising campaign and on making a lot of money unjustly from those who believe in them, unlike Chinese companies that give you value for money.  You will buy the charger, screen protector and case by yourself.  They will try to tempt you with a watch, headphones, iPad and laptop to enter the integrated slave system and they're going to keep making money from you year after year that's the bad Apple the same apple that brought down the Prophet Adam from heaven",1727827200,0,
UgyY3awQ9t0sXx0YBgl4AaABAg,root,@CaydinPearce-l9m,So this was really it 😂😂😂,1727827200,3,
UgxWZ9IGsEx3_i_wdwx4AaABAg,root,@GoatOuTkast,I’m just fine with my 14. I’ll get the 18 when it comes out. No need to get the latest and greatest every year.,1727827200,0,
Ugxr1oc1HPB4-zsonAh4AaABAg,root,@HustleDream,When are we as consumers going to cancel Apple for giving us the same phone year after year with minimal changes…,1727827200,1,
UgxXtBEmDgpkrJ-glVx4AaABAg,root,@OscarHyman-k1n,Moore Linda Perez Angela Perez Christopher,1727827200,0,
UgwYwh6lQZTyeN_tM2V4AaABAg,root,@Tlixc7,Bros in the backrooms 💀,1727827200,0,
UgwmxmfWESI8jIZQDUN4AaABAg,root,@aytac007,"i always think the max is a waste of time, i thought it would be good to have that to watch sports and i did get it, once you get it you immediately regret it as its too big to fit even in your back pocket, its like trying to fit a small tablet in your back pocket, whats the point, i dont see none. i have the pro now, i love it, its small and fits everyehere, also with the max, it seems like you need to use both hands to hold the phone, thats stupid why is it that wide, i would always advise people to get whats the most practical and useable phone",1727827200,0,
UgzlBClaf1yql3cc7kh4AaABAg,root,@newb7524,Can i have the black one please? Hehehe 😂,1727827200,0,
Ugykw0aOWQyig80T09R4AaABAg,root,@bisayastyle9324,That's iphone XR 7th Gen,1727827200,0,
UgxHSMq1YAziZZmTDAF4AaABAg,root,@juliendufour4513,"My $5,000 MacBook Pro 14-inch screen got damaged by the keyboard despite using a protective sleeve at all times. Apple, how is this acceptable? After less than two years, it looks worse than my 8-year-old MacBook. Not sure people will keep spending big money on your products—I won’t.",1727827200,0,
UgxHSMq1YAziZZmTDAF4AaABAg.A8EfSVT8TENA8FjnlclwZX,UgxHSMq1YAziZZmTDAF4AaABAg,@RenaissanceEarCandy,"You're very sensible not to give them the time of day, but unfortunately people will still pay through the nose for whatever the put out. A fool and his money are easily parted and there's plenty who just just hang the ""latest and greatest"", no matter how shit the latest and ""greatest"" actually is.",1727827200,0,
UgxHSMq1YAziZZmTDAF4AaABAg.A8EfSVT8TENA8IKAzM0j2b,UgxHSMq1YAziZZmTDAF4AaABAg,@juliendufour4513,"@RenaissanceEarCandy  It was my last expensive device from Apple, they didn't care fixing the issue, apple is printing cash that's it.",1727827200,0,
Ugz-8MwnsIq-bVbbeEZ4AaABAg,root,@keto4life197,Nice to know we are protected against that kind of spyware in Denmark,1727827200,0,
UgzZzpb7Nu7aDp3uxAp4AaABAg,root,@captaincal6447,"If it's not the official Iphone 16, the. why the fuck put your title that way?  That's probably the reason why your channel wont be successful.",1727827200,0,
UgzZzpb7Nu7aDp3uxAp4AaABAg.A8D_bUMpAgUA8Dd5BzBFiE,UgzZzpb7Nu7aDp3uxAp4AaABAg,@NRGODKING,24 million subs with 1 million views a video isn’t successful to you?,1727827200,1,
UgwrxUlrUKksmLnbw_F4AaABAg,root,@krislandaaro5101,Pro max 😎😁👍,1727827200,0,
UgxW68xQj3YYgl89u9N4AaABAg,root,@bhavyasengar4008,Is that Bruce Wayne’s secret hideout he made with foxx?💀,1727827200,0,
UgwNMzEXg7v68yI_5B14AaABAg,root,@Pkp-d5c,Revolutionary design. Peak technological advancement.,1727827200,0,
Ugx_HJOhJMDxgYJjLdF4AaABAg,root,@legendrobloxplayzxd205,It just got released. Who is there after the new apple event???,1727827200,0,
UgwNFLELJ2Pek_z7gZR4AaABAg,root,@Pynkfoxx_,2:12  it looks like the iPhone Xr version _Not ready to give my 13 pro max up,1727827200,1,
Ugy4z03Fq2Dn023OX4p4AaABAg,root,@godwinogunjal791,Your video was right.,1727827200,3,
