start,end,text,start_sec,end_sec,mid_sec,text_length
00:00:03.990,00:00:04.000,so I just got these boxes in from China,3.99,4.0,3.995,39
00:00:04.000,00:00:05.630,so I just got these boxes in from China and you can probably tell from the,4.0,5.63,4.8149999999999995,74
00:00:05.630,00:00:05.640,and you can probably tell from the,5.63,5.64,5.635,34
00:00:05.640,00:00:08.110,and you can probably tell from the labels that there's something iPhone,5.64,8.11,6.875,71
00:00:08.110,00:00:08.120,labels that there's something iPhone,8.11,8.12,8.114999999999998,36
00:00:08.120,00:00:10.990,labels that there's something iPhone related inside well I mean these numbers,8.12,10.99,9.555,77
00:00:10.990,00:00:11.000,related inside well I mean these numbers,10.99,11.0,10.995000000000001,40
00:00:11.000,00:00:14.070,related inside well I mean these numbers indicate that 16 Pro Max 16 plus these,11.0,14.07,12.535,79
00:00:14.070,00:00:14.080,indicate that 16 Pro Max 16 plus these,14.07,14.08,14.075,38
00:00:14.080,00:00:19.470,indicate that 16 Pro Max 16 plus these are obviously not the official iPhone 16,14.08,19.47,16.775,79
00:00:19.470,00:00:19.480,are obviously not the official iPhone 16,19.47,19.48,19.475,40
00:00:19.480,00:00:22.670,are obviously not the official iPhone 16 products those don't exist yet however,19.48,22.67,21.075000000000003,79
00:00:22.670,00:00:22.680,products those don't exist yet however,22.67,22.68,22.675,38
00:00:22.680,00:00:25.429,products those don't exist yet however inside is the closest look I guess you,22.68,25.429,24.054499999999997,77
00:00:25.429,00:00:25.439,inside is the closest look I guess you,25.429,25.439,25.433999999999997,38
00:00:25.439,00:00:27.509,inside is the closest look I guess you can get at the moment of what those,25.439,27.509,26.474,74
00:00:27.509,00:00:27.519,can get at the moment of what those,27.509,27.519,27.514,35
00:00:27.519,00:00:29.470,can get at the moment of what those phones are going to look like because,27.519,29.47,28.4945,73
00:00:29.470,00:00:29.480,phones are going to look like because,29.47,29.48,29.475,37
00:00:29.480,00:00:30.910,phones are going to look like because these things,29.48,30.91,30.195,50
00:00:30.910,00:00:30.920,these things,30.91,30.92,30.915,12
00:00:30.920,00:00:33.990,these things always come out of China prior to the,30.92,33.99,32.455,50
00:00:33.990,00:00:34.000,always come out of China prior to the,33.99,34.0,33.995000000000005,37
00:00:34.000,00:00:37.110,always come out of China prior to the actual iPhone launch so let's start by,34.0,37.11,35.555,76
00:00:37.110,00:00:37.120,actual iPhone launch so let's start by,37.11,37.12,37.114999999999995,38
00:00:37.120,00:00:40.389,actual iPhone launch so let's start by unboxing the one that's labeled,37.12,40.389,38.7545,70
00:00:40.389,00:00:40.399,unboxing the one that's labeled,40.389,40.399,40.394000000000005,31
00:00:40.399,00:00:43.670,unboxing the one that's labeled 16 and the shocking thing that you're,40.399,43.67,42.0345,69
00:00:43.670,00:00:43.680,16 and the shocking thing that you're,43.67,43.68,43.675,37
00:00:43.680,00:00:46.430,16 and the shocking thing that you're going to notice immediately is the new,43.68,46.43,45.055,76
00:00:46.430,00:00:46.440,going to notice immediately is the new,46.43,46.44,46.435,38
00:00:46.440,00:00:49.510,going to notice immediately is the new layout of the camera section and you're,46.44,49.51,47.974999999999994,78
00:00:49.510,00:00:49.520,layout of the camera section and you're,49.51,49.52,49.515,39
00:00:49.520,00:00:51.189,layout of the camera section and you're going to decide right now whether you,49.52,51.189,50.3545,77
00:00:51.189,00:00:51.199,going to decide right now whether you,51.189,51.199,51.194,37
00:00:51.199,00:00:56.029,going to decide right now whether you love or hate this decision by Apple to,51.199,56.029,53.614000000000004,76
00:00:56.029,00:00:56.039,love or hate this decision by Apple to,56.029,56.039,56.034000000000006,38
00:00:56.039,00:00:58.509,love or hate this decision by Apple to change this area because obviously in,56.039,58.509,57.274,76
00:00:58.509,00:00:58.519,change this area because obviously in,58.509,58.519,58.513999999999996,37
00:00:58.519,00:01:00.349,change this area because obviously in the past it looked quite a bit different,58.519,60.349,59.434,78
00:01:00.349,00:01:00.359,the past it looked quite a bit different,60.349,60.359,60.354,40
00:01:00.359,00:01:04.750,the past it looked quite a bit different so here is the iPhone 15 compared to the,60.359,64.75,62.554500000000004,81
00:01:04.750,00:01:04.760,so here is the iPhone 15 compared to the,64.75,64.76,64.755,40
00:01:04.760,00:01:07.630,so here is the iPhone 15 compared to the iPhone 16 and I don't know this was kind,64.76,67.63,66.195,81
00:01:07.630,00:01:07.640,iPhone 16 and I don't know this was kind,67.63,67.64,67.63499999999999,40
00:01:07.640,00:01:11.310,iPhone 16 and I don't know this was kind of intriguing the diagonal layout it was,67.64,71.31,69.475,81
00:01:11.310,00:01:11.320,of intriguing the diagonal layout it was,71.31,71.32,71.315,40
00:01:11.320,00:01:14.149,of intriguing the diagonal layout it was distinctive you knew it was an iPhone,71.32,74.149,72.7345,78
00:01:14.149,00:01:14.159,distinctive you knew it was an iPhone,74.149,74.159,74.154,37
00:01:14.159,00:01:16.950,distinctive you knew it was an iPhone whereas this layout is a little bit more,74.159,76.95,75.5545,78
00:01:16.950,00:01:16.960,whereas this layout is a little bit more,76.95,76.96000000000001,76.95500000000001,40
00:01:16.960,00:01:19.590,whereas this layout is a little bit more typical obviously some other interesting,76.96000000000001,79.59,78.275,81
00:01:19.590,00:01:19.600,typical obviously some other interesting,79.59,79.6,79.595,40
00:01:19.600,00:01:21.590,typical obviously some other interesting findings here we have this is this going,79.6,81.59,80.595,81
00:01:21.590,00:01:21.600,findings here we have this is this going,81.59,81.6,81.595,40
00:01:21.600,00:01:23.670,findings here we have this is this going to be a secondary button it's not going,81.6,83.67,82.63499999999999,80
00:01:23.670,00:01:23.680,to be a secondary button it's not going,83.67,83.68,83.67500000000001,39
00:01:23.680,00:01:26.990,to be a secondary button it's not going to be removable storage obviously anyway,83.68,86.99,85.33500000000001,80
00:01:26.990,00:01:27.000,to be removable storage obviously anyway,86.99,87.0,86.995,40
00:01:27.000,00:01:28.990,to be removable storage obviously anyway a dedicated button for Apple,87.0,88.99,87.995,69
00:01:28.990,00:01:29.000,a dedicated button for Apple,88.99,89.0,88.995,28
00:01:29.000,00:01:30.870,a dedicated button for Apple intelligence yeah sure maybe obviously,89.0,90.87,89.935,67
00:01:30.870,00:01:30.880,intelligence yeah sure maybe obviously,90.87,90.88,90.875,38
00:01:30.880,00:01:33.190,intelligence yeah sure maybe obviously we have this little button here where,90.88,93.19,92.035,76
00:01:33.190,00:01:33.200,we have this little button here where,93.19,93.2,93.195,37
00:01:33.200,00:01:36.429,we have this little button here where you used to have the switch but then,93.2,96.429,94.81450000000001,74
00:01:36.429,00:01:36.439,you used to have the switch but then,96.429,96.439,96.434,36
00:01:36.439,00:01:39.910,you used to have the switch but then that changed on the Pro Models we have,96.439,99.91,98.1745,75
00:01:39.910,00:01:39.920,that changed on the Pro Models we have,99.91,99.92,99.91499999999999,38
00:01:39.920,00:01:42.870,that changed on the Pro Models we have our volume buttons individual and then,99.92,102.87,101.39500000000001,77
00:01:42.870,00:01:42.880,our volume buttons individual and then,102.87,102.88,102.875,38
00:01:42.880,00:01:44.830,our volume buttons individual and then the Sim slot on the other side down here,102.88,104.83,103.85499999999999,79
00:01:44.830,00:01:44.840,the Sim slot on the other side down here,104.83,104.84,104.83500000000001,40
00:01:44.840,00:01:46.670,the Sim slot on the other side down here of course we're going to have type c,104.84,106.67,105.755,77
00:01:46.670,00:01:46.680,of course we're going to have type c,106.67,106.68,106.67500000000001,36
00:01:46.680,00:01:48.709,of course we're going to have type c speaker and then I got to pull this,106.68,108.709,107.6945,72
00:01:48.709,00:01:48.719,speaker and then I got to pull this,108.709,108.719,108.714,35
00:01:48.719,00:01:51.190,speaker and then I got to pull this sticker off here oh it's one of these,108.719,111.19,109.9545,73
00:01:51.190,00:01:51.200,sticker off here oh it's one of these,111.19,111.2,111.195,37
00:01:51.200,00:01:53.109,sticker off here oh it's one of these annoying,111.2,113.10900000000001,112.15450000000001,46
00:01:53.109,00:01:53.119,annoying,113.10900000000001,113.119,113.114,8
00:01:53.119,00:01:58.029,annoying ones oh actually very faint Apple logo,113.119,118.029,115.574,47
00:01:58.029,00:01:58.039,ones oh actually very faint Apple logo,118.029,118.039,118.03399999999999,38
00:01:58.039,00:02:01.870,ones oh actually very faint Apple logo being hidden by the sticker for shipping,118.039,121.87,119.9545,79
00:02:01.870,00:02:01.880,being hidden by the sticker for shipping,121.87,121.88,121.875,40
00:02:01.880,00:02:04.190,being hidden by the sticker for shipping purposes I'm sure now the colors what,121.88,124.19,123.035,78
00:02:04.190,00:02:04.200,purposes I'm sure now the colors what,124.19,124.2,124.195,37
00:02:04.200,00:02:06.870,purposes I'm sure now the colors what can we learn from it honestly we never,124.2,126.87,125.535,76
00:02:06.870,00:02:06.880,can we learn from it honestly we never,126.87,126.88,126.875,38
