support,itemsets,length
0.2558139534883721,frozenset({'iphone'}),1
0.1744186046511628,frozenset({'look'}),1
0.16279069767441862,frozenset({'like'}),1
0.16279069767441862,frozenset({'model'}),1
0.16279069767441862,frozenset({'phone'}),1
0.16279069767441862,frozenset({'going'}),1
0.16279069767441862,frozenset({'color'}),1
0.1511627906976744,frozenset({'apple'}),1
0.1511627906976744,frozenset({'got'}),1
0.12790697674418605,frozenset({'pro'}),1
0.11627906976744186,frozenset({'also'}),1
0.11627906976744186,frozenset({'let'}),1
0.11627906976744186,frozenset({'case'}),1
0.10465116279069768,frozenset({'black'}),1
0.10465116279069768,frozenset({'device'}),1
0.10465116279069768,frozenset({'new'}),1
0.10465116279069768,frozenset({'little'}),1
0.10465116279069768,frozenset({'one'}),1
0.10465116279069768,frozenset({'obviously'}),1
