token_a,token_b,count
like,look,7
iphone,new,7
got,iphone,6
factor,form,6
bit,little,6
iphone,look,6
also,got,5
look,phone,5
black,color,5
black,kind,5
case,later,5
iphone,let,5
model,pro,5
color,like,5
actually,color,4
max,pro,4
actual,iphone,4
iphone,well,4
iphone,know,4
going,iphone,4
color,look,4
black,model,4
apple,button,4
let,look,4
iphone,thing,4
iphone,little,4
iphone,plus,4
bit,iphone,4
apple,going,4
iphone,one,4
let,one,4
feel,would,4
actually,device,4
look,model,4
color,kind,4
going,one,3
let,like,3
iphone,looking,3
also,model,3
obviously,plus,3
get,going,3
going,thing,3
like,model,3
official,plus,3
apple,got,3
iphone,like,3
apple,one,3
black,section,3
iphone,mean,3
going,look,3
going,phone,3
going,new,3
factor,identical,3
color,way,3
apple,obviously,3
form,identical,3
matte,model,3
iphone,obviously,3
iphone,official,3
change,factor,3
come,iphone,3
actual,material,3
little,obviously,3
almost,look,3
like,phone,3
actually,apple,3
model,plus,3
however,look,3
color,sometimes,3
phone,thing,3
change,form,3
know,plus,3
let,new,3
bit,obviously,3
identical,look,3
new,one,3
identical,width,3
black,would,3
existing,pro,3
check,let,3
let,pro,3
going,got,3
camera,section,3
two,using,3
button,obviously,3
like,sometimes,3
let,taller,3
bit,know,3
course,going,3
close,model,3
iphone,model,3
apple,color,3
got,phone,3
also,color,3
color,got,3
also,iphone,3
got,match,3
also,going,3
device,going,3
grip,magnetic,3
also,look,3
also,like,3
charge,device,3
charge,two,3
device,two,3
case,drop,3
know,let,3
factor,see,2
actual,identical,2
case,maybe,2
form,looking,2
pro,taller,2
press,shift,2
mean,number,2
case,color,2
mean,related,2
however,like,2
form,see,2
mean,well,2
however,pink,2
number,related,2
almost,apple,2
number,well,2
actually,faint,2
actually,going,2
actually,got,2
actually,logo,2
actually,one,2
actually,pull,2
related,well,2
bit,different,2
however,typical,2
actually,sticker,2
bit,feel,2
exist,inside,2
like,pink,2
bit,quite,2
bit,heavier,2
like,typical,2
compare,model,2
look,pink,2
exist,product,2
change,obviously,2
look,typical,2
exist,yet,2
bit,model,2
black,pro,2
cool,feel,2
changed,check,2
apple,course,2
apple,faint,2
apple,logo,2
apple,pull,2
pink,typical,2
different,quite,2
apple,sticker,2
feel,heavier,2
got,model,2
course,got,2
feel,know,2
feel,little,2
inside,product,2
inside,yet,2
feel,pro,2
iphone,pro,2
looking,plus,2
heavier,know,2
heavier,little,2
max,number,2
like,plus,2
faint,logo,2
max,plus,2
faint,one,2
looking,see,2
color,model,2
faint,sticker,2
mean,obviously,2
mean,official,2
mean,plus,2
bit,distinctive,2
let,model,2
bit,knew,2
bit,layout,2
much,taller,2
cool,would,2
obviously,official,2
obviously,pro,2
almost,existing,2
dimension,fairly,2
almost,kind,2
got,one,2
much,touch,2
dimension,look,2
almost,pro,2
taller,touch,2
logo,one,2
plus,pro,2
know,little,2
kind,model,2
logo,sticker,2
know,model,2
kind,protector,2
kind,screen,2
one,sticker,2
know,pro,2
color,quite,2
fairly,look,2
product,yet,2
see,variant,2
different,kind,2
little,model,2
model,protector,2
distinctive,iphone,2
model,screen,2
