token_a,token_b,count
every,year,158
max,pro,146
like,look,133
iphone,phone,118
iphone,like,117
iphone,pro,109
phone,year,103
apple,iphone,102
new,phone,95
iphone,new,95
iphone,year,92
apple,phone,90
like,phone,88
iphone,look,86
new,year,85
every,phone,76
apple,year,72
apple,new,71
look,phone,70
iphone,still,67
camera,iphone,67
every,new,66
button,camera,62
iphone,max,61
camera,new,61
apple,camera,61
apple,samsung,58
camera,like,56
apple,like,56
camera,phone,55
design,iphone,55
phone,pro,55
camera,look,54
every,iphone,52
upgrade,year,51
like,new,49
people,phone,49
iphone,samsung,49
get,iphone,48
get,phone,48
people,year,46
nothing,phone,45
apple,design,45
apple,every,45
pro,year,44
camera,layout,44
new,pro,43
buy,iphone,43
iphone,upgrade,43
make,phone,43
iphone,people,42
every,people,41
camera,pro,40
button,new,40
need,phone,40
buy,year,39
get,year,39
phone,samsung,39
iphone,need,39
change,iphone,39
apple,pro,38
apple,get,38
apple,make,38
like,samsung,37
android,phone,36
apple,look,35
button,capture,35
like,pro,35
buy,phone,35
iphone,model,35
design,new,35
pro,still,34
apple,people,34
one,phone,34
back,iphone,34
apple,still,34
need,new,34
look,new,34
iphone,make,34
change,year,34
look,pro,34
iphone,since,33
buy,new,33
get,new,33
iphone,nothing,33
release,year,33
better,iphone,33
get,pro,32
every,upgrade,32
phone,time,32
phone,upgrade,32
new,one,32
need,year,32
like,year,32
model,new,31
apple,one,31
pro,upgrade,31
iphone,one,31
one,year,30
max,phone,30
new,people,30
change,design,30
get,one,30
apple,change,30
every,release,30
android,iphone,30
button,shutter,30
iphone,want,30
look,samsung,30
iphone,really,29
every,need,29
phone,really,29
better,camera,29
phone,still,29
change,phone,29
last,year,29
change,new,29
model,pro,29
make,new,28
iphone,use,28
iphone,plus,28
buy,people,28
even,iphone,28
buy,every,28
got,iphone,28
design,like,28
iphone,time,28
phone,want,28
max,still,28
make,year,27
iphone,user,27
iphone,old,27
iphone,think,27
iphone,iphones,27
new,nothing,27
get,like,27
model,phone,27
every,like,27
design,look,26
apple,thing,26
going,iphone,26
model,year,26
still,year,26
like,one,26
case,phone,25
iphone,much,25
every,get,25
iphone,screen,25
design,phone,25
iphone,release,25
need,pro,25
apple,need,24
look,year,24
max,year,24
camera,year,24
change,every,24
apple,buy,24
apple,even,24
like,people,24
camera,design,24
feel,like,24
apple,back,24
android,apple,23
phone,release,23
phone,think,23
apple,button,23
new,release,23
button,like,23
apple,release,23
look,model,23
apple,user,23
next,year,23
want,year,23
even,phone,23
old,phone,23
people,upgrade,23
every,one,23
new,really,23
old,year,23
like,nothing,22
best,iphone,22
phone,thing,22
thing,year,22
iphone,thing,22
iphone,using,22
change,like,22
come,iphone,22
back,phone,22
apple,nothing,22
iphone,know,22
apple,think,22
got,pro,22
apple,really,22
like,model,22
need,upgrade,22
android,like,22
even,year,22
bump,camera,22
back,camera,22
battery,iphone,21
better,phone,21
battery,phone,21
iphones,phone,21
camera,video,21
apple,innovation,21
every,make,21
like,make,21
apple,going,21
buy,one,21
iphone,video,21
camera,one,21
apple,fan,21
need,people,21
got,phone,20
camera,change,20
feel,phone,20
apple,come,20
change,pro,20
iphone,work,20
company,phone,20
case,iphone,20
camera,model,20
iphones,new,20
change,look,20
better,pro,20
button,side,20
phone,use,20
look,nothing,20
get,people,19
apple,model,19
every,model,19
get,still,19
new,want,19
iphones,year,19
apple,better,19
back,like,19
phone,user,19
first,iphone,19
apple,product,19
new,old,19
iphone,last,19
think,year,19
much,phone,19
camera,make,18
apple,upgrade,18
apple,company,18
change,people,18
pro,vision,18
apple,max,18
phone,point,18
apple,keep,18
iphone,latest,18
iphones,like,18
got,year,18
like,think,18
new,thing,18
know,year,18
new,think,18
buy,pro,18
later,lew,18
design,samsung,18
iphone,layout,18
pro,think,18
max,new,17
iphone,lol,17
one,still,17
like,max,17
keep,phone,17
get,think,17
since,year,17
android,look,17
company,new,17
get,make,17
iphones,people,17
change,nothing,17
camera,samsung,17
many,phone,17
button,phone,17
last,phone,17
feel,iphone,17
button,iphone,17
making,phone,17
like,screen,17
antenna,button,17
iphone,wait,17
phone,video,17
new,still,17
battery,year,17
samsung,year,17
make,one,17
one,pro,17
keep,year,17
layout,new,16
design,year,16
camera,max,16
camera,get,16
time,year,16
getting,iphone,16
apple,want,16
another,year,16
like,much,16
pro,screen,16
phone,way,16
different,phone,16
new,upgrade,16
case,new,16
money,year,16
camera,nothing,16
like,still,16
really,year,16
every,thing,16
get,max,16
people,thing,16
new,screen,16
button,think,16
company,year,16
got,max,16
pro,want,16
every,iphones,16
apple,money,16
button,pro,16
better,much,16
look,one,16
like,really,16
know,new,16
iphone,way,16
every,want,16
camera,thing,16
better,look,16
look,really,16
camera,people,16
model,need,16
going,pro,16
company,every,16
like,need,16
know,phone,16
apple,never,16
phone,work,15
iphone,love,15
phone,since,15
even,one,15
going,year,15
getting,pro,15
point,year,15
buying,phone,15
day,iphone,15
enough,iphone,15
upgrading,year,15
good,iphone,15
apple,iphones,15
upgrade,want,15
like,thing,15
new,video,15
apple,use,15
apple,feature,15
get,want,15
buy,want,15
get,upgrade,15
better,samsung,15
changed,iphone,15
max,upgrade,15
layout,look,15
people,still,15
apple,intelligence,15
phone,screen,15
every,samsung,15
pro,video,15
every,latest,15
iphone,mean,15
iphone,see,15
camera,vision,15
lol,phone,15
camera,screen,15
dynamic,island,15
know,like,15
camera,capture,15
even,new,15
like,user,15
getting,phone,15
apple,old,15
apple,time,15
base,model,15
got,new,14
iphone,version,14
iphone,tell,14
button,extra,14
still,upgrade,14
button,dedicated,14
better,max,14
apple,made,14
phone,using,14
new,time,14
case,make,14
come,phone,14
button,video,14
releasing,year,14
best,phone,14
iphone,money,14
change,make,14
apple,last,14
good,pro,14
even,get,14
always,apple,14
iphone,say,14
get,model,14
gon,iphone,14
new,something,14
iphone,something,14
phone,used,14
first,phone,14
camera,know,14
buy,change,14
come,year,14
apple,screen,14
like,upgrade,14
people,samsung,14
buy,like,14
pro,samsung,14
apple,way,14
innovation,year,14
look,make,14
every,look,14
phone,tell,14
iphone,point,14
camera,really,14
camera,shutter,14
apple,got,14
android,better,14
design,people,14
iphone,never,14
get,samsung,13
always,new,13
max,model,13
look,plus,13
get,look,13
flip,phone,13
always,iphone,13
android,user,13
people,release,13
phone,see,13
many,year,13
back,year,13
apple,point,13
product,year,13
iphone,upgrading,13
battery,life,13
apple,much,13
iphone,might,13
something,year,13
day,phone,13
design,nothing,13
like,work,13
better,new,13
another,apple,13
latest,phone,13
plus,pro,13
galaxy,samsung,13
iphone,making,13
therapy,unbox,13
wait,year,13
apple,since,13
iphone,probably,13
every,really,13
iphone,switch,13
layout,pro,13
another,phone,13
battery,health,13
iphone,someone,13
get,old,13
make,people,13
even,like,13
pro,really,13
yeah,year,13
anymore,apple,13
look,max,13
another,iphone,13
one,want,13
max,think,13
different,look,13
apple,know,13
better,way,13
like,use,13
use,year,13
apple,lol,13
every,still,13
much,year,13
get,need,13
every,time,13
pro,since,13
different,iphone,13
get,really,13
new,samsung,13
make,pro,13
camera,going,13
iphone,used,12
much,pro,12
much,think,12
actually,iphone,12
company,like,12
device,samsung,12
iphone,keep,12
apple,good,12
buy,know,12
every,pro,12
buying,iphone,12
apple,feel,12
old,people,12
best,ever,12
people,want,12
make,money,12
greatest,latest,12
apple,making,12
already,iphone,12
galaxy,iphone,12
max,screen,12
feature,new,12
get,time,12
good,phone,12
know,people,12
spatial,video,12
pro,time,12
buy,still,12
still,using,12
brand,phone,12
even,pro,12
design,time,12
feature,year,12
like,lol,12
max,one,12
like,small,12
like,point,12
like,time,12
one,people,12
like,old,12
better,year,12
every,know,12
like,release,12
always,like,12
pro,switch,12
better,like,12
device,phone,12
battery,pro,12
better,think,12
apple,day,12
change,model,12
bro,iphone,12
iphone,many,12
apple,layout,12
going,like,12
latest,year,12
pro,using,12
buy,get,12
latest,people,12
changed,since,12
feel,new,12
going,new,12
always,year,12
dont,iphone,12
feature,iphone,12
apple,device,12
camera,changed,12
change,need,12
layout,phone,12
enough,phone,12
layout,like,12
need,release,12
battery,camera,12
cmf,phone,12
life,phone,12
look,people,12
every,releasing,12
people,time,12
phone,small,12
people,pro,12
apple,see,12
good,year,12
even,make,12
new,update,12
samsung,work,11
making,year,11
buy,camera,11
look,mean,11
people,really,11
model,one,11
camera,still,11
camera,think,11
finally,iphone,11
money,phone,11
get,got,11
every,think,11
iphone,looking,11
care,phone,11
design,pro,11
people,product,11
change,get,11
anymore,iphone,11
enough,people,11
last,upgrade,11
camera,every,11
new,side,11
always,every,11
next,pro,11
look,think,11
apple,gon,11
look,much,11
always,phone,11
back,design,11
android,camera,11
change,want,11
new,see,11
iphone,price,11
getting,year,11
think,upgrade,11
buy,model,11
iphones,need,11
make,need,11
buy,upgrade,11
apple,latest,11
really,upgrade,11
make,really,11
every,point,11
phone,switch,11
making,samsung,11
button,photo,11
iphone,literally,11
still,use,11
different,year,11
apple,different,11
even,need,11
get,point,11
camera,case,11
phone,update,11
case,like,11
one,upgrade,11
always,camera,11
made,phone,11
back,going,11
getting,new,11
even,samsung,11
samsung,user,11
apple,probably,11
even,upgrade,11
camera,lol,11
design,get,11
keep,people,11
using,year,11
latest,need,11
apple,first,11
model,people,11
even,know,11
phone,plus,11
camera,much,11
android,year,11
back,bring,11
android,new,11
battery,like,11
plus,still,11
device,iphone,11
samsung,still,11
buy,max,11
buy,case,11
iphone,please,11
iphone,mini,10
iphone,soon,10
like,since,10
new,plus,10
android,zacgougeon,10
apple,boring,10
guess,year,10
model,release,10
look,point,10
apple,copying,10
better,model,10
enough,new,10
nothing,year,10
money,new,10
make,nothing,10
anymore,phone,10
design,even,10
camera,vertical,10
like,something,10
camera,spatial,10
capture,new,10
need,want,10
really,release,10
case,later,10
bigger,camera,10
model,think,10
instead,phone,10
new,version,10
new,since,10
max,plus,10
iphone,maybe,10
look,way,10
camera,time,10
battery,new,10
apple,flip,10
camera,dedicated,10
pro,probably,10
button,make,10
design,much,10
camera,got,10
look,upgrade,10
phone,software,10
never,new,10
camera,way,10
changed,nothing,10
button,fingerprint,10
new,next,10
design,old,10
got,samsung,10
make,use,10
pro,work,10
iphone,life,10
reason,upgrade,10
almost,phone,10
better,design,10
going,know,10
back,make,10
get,know,10
next,phone,10
max,want,10
pro,version,10
button,sim,10
keep,like,10
stop,year,10
android,pro,10
iphone,well,10
past,year,10
phone,size,10
even,time,10
every,old,10
even,every,10
might,phone,10
max,since,10
like,maybe,10
company,iphone,10
iphones,upgrade,10
better,even,10
battery,upgrade,10
buy,iphones,10
iphone,went,10
screen,year,10
samsung,want,10
max,need,10
like,love,10
get,use,10
design,way,10
every,single,10
last,new,10
good,new,10
different,new,10
first,pro,10
max,much,10
day,year,10
feel,user,10
phone,something,10
iphone,next,10
buying,new,10
feel,make,10
android,samsung,10
buying,people,10
screen,still,10
design,make,9
latest,new,9
apple,long,9
back,look,9
really,samsung,9
literally,phone,9
ago,year,9
iphone,stop,9
iphone,software,9
camera,want,9
better,video,9
instead,year,9
nothing,still,9
make,upgrade,9
need,really,9
need,still,9
much,pretty,9
camera,setup,9
look,want,9
iphone,size,9
apple,went,9
apple,love,9
like,mean,9
apple,buying,9
apple,color,9
card,sim,9
every,something,9
iphone,watching,9
pro,wait,9
change,money,9
going,look,9
like,made,9
buy,make,9
better,change,9
got,still,9
love,year,9
least,year,9
pro,see,9
new,spatial,9
better,one,9
apple,vision,9
design,every,9
apple,brand,9
black,iphone,9
samsung,screen,9
changed,pro,9
iphone,update,9
many,people,9
apple,big,9
video,vision,9
