support,itemsets,length
0.24798464491362765,frozenset({'iphone'}),1
0.17236084452975048,frozenset({'phone'}),1
0.16660268714011517,frozenset({'apple'}),1
0.13397312859884836,frozenset({'like'}),1
0.11785028790786949,frozenset({'year'}),1
0.11785028790786949,frozenset({'new'}),1
0.11516314779270634,frozenset({'pro'}),1
0.11055662188099807,frozenset({'camera'}),1
0.10326295585412668,frozenset({'look'}),1
0.07332053742802304,frozenset({'every'}),1
0.06756238003838771,frozenset({'button'}),1
0.06487523992322457,frozenset({'get'}),1
0.06333973128598848,frozenset({'max'}),1
0.06295585412667946,frozenset({'still'}),1
0.06295585412667946,frozenset({'samsung'}),1
0.06065259117082534,"frozenset({'year', 'every'})",2
0.05758157389635317,"frozenset({'max', 'pro'})",2
0.05489443378119002,frozenset({'design'}),1
0.05412667946257198,frozenset({'one'}),1
0.053742802303262956,"frozenset({'like', 'look'})",2
