term_a,term_b,count
actually,almost,1
actually,also,1
actually,apple,1
actually,better,1
actually,bit,1
actually,black,1
actually,button,1
actually,buy,1
actually,camera,1
actually,case,1
actually,change,1
actually,color,1
actually,come,1
actually,device,1
actually,different,1
actually,drop,1
actually,every,1
actually,existing,1
actually,factor,1
actually,feel,1
actually,form,1
actually,get,1
actually,going,1
actually,got,1
actually,hand,1
actually,height,1
actually,hold,1
actually,identical,1
actually,iphone,1
actually,kind,1
actually,know,1
actually,later,1
actually,layout,1
actually,let,1
actually,like,1
actually,little,1
actually,look,1
actually,looking,1
actually,make,1
actually,material,1
actually,max,1
actually,model,1
actually,much,1
actually,need,1
actually,new,1
actually,obviously,1
actually,old,1
actually,one,1
actually,people,1
actually,phone,1
