term_a,term_b,count
every,year,159
max,pro,154
like,look,136
iphone,phone,118
iphone,like,117
iphone,pro,109
phone,year,103
apple,iphone,102
iphone,new,96
new,phone,95
iphone,year,92
apple,phone,90
like,phone,88
iphone,look,86
new,year,85
every,phone,76
apple,year,72
apple,new,71
look,phone,70
iphone,still,69
camera,iphone,67
every,new,66
iphone,max,63
button,camera,62
apple,camera,61
camera,new,61
apple,samsung,58
apple,like,56
camera,like,56
phone,pro,55
camera,phone,55
design,iphone,55
camera,look,54
every,iphone,52
upgrade,year,51
people,phone,49
like,new,49
iphone,samsung,49
get,phone,48
get,iphone,48
people,year,46
apple,design,46
nothing,phone,46
apple,every,45
pro,year,44
camera,layout,44
buy,iphone,43
new,pro,43
make,phone,43
iphone,upgrade,43
