term,score_h1,rank_h1,score_h2,rank_h2,delta_score
iphone,0.0,9999,0.30372058679724473,1,0.30372058679724473
pro,0.0,9999,0.24297646943779577,2,0.24297646943779577
model,0.0,9999,0.2126044107580713,3,0.2126044107580713
look,0.0,9999,0.19741838141820905,5,0.19741838141820905
color,0.0,9999,0.19741838141820905,4,0.19741838141820905
like,0.0,9999,0.18223235207834682,7,0.18223235207834682
phone,0.0,9999,0.18223235207834682,6,0.18223235207834682
black,0.0,9999,0.18223235207834682,8,0.18223235207834682
going,0.0,9999,0.16704632273848458,9,0.16704632273848458
got,0.0,9999,0.16198431295853052,10,0.16198431295853052
apple,0.0,9999,0.15186029339862236,11,0.15186029339862236
case,0.0,9999,0.15186029339862236,12,0.15186029339862236
little,0.0,9999,0.13667426405876013,14,0.13667426405876013
one,0.0,9999,0.13667426405876013,15,0.13667426405876013
obviously,0.0,9999,0.13667426405876013,13,0.13667426405876013
plus,0.0,9999,0.12148823471889789,16,0.12148823471889789
feel,0.0,9999,0.10630220537903565,21,0.10630220537903565
button,0.0,9999,0.10630220537903565,18,0.10630220537903565
kind,0.0,9999,0.10630220537903565,19,0.10630220537903565
thing,0.0,9999,0.10630220537903565,20,0.10630220537903565
bit,0.0,9999,0.10630220537903565,17,0.10630220537903565
new,0.0,9999,0.10124019559908157,23,0.10124019559908157
identical,0.0,9999,0.10124019559908157,22,0.10124019559908157
know,0.0,9999,0.09617818581912749,24,0.09617818581912749
let,0.0,9999,0.09617818581912749,25,0.09617818581912749
material,0.0,9999,0.09111617603917341,26,0.09111617603917341
actually,0.0,9999,0.09111617603917341,30,0.09111617603917341
almost,0.0,9999,0.09111617603917341,29,0.09111617603917341
height,0.0,9999,0.09111617603917341,27,0.09111617603917341
device,0.0,9999,0.09111617603917341,31,0.09111617603917341
also,0.0,9999,0.09111617603917341,32,0.09111617603917341
get,0.0,9999,0.09111617603917341,28,0.09111617603917341
max,0.0,9999,0.08099215647926526,33,0.08099215647926526
existing,0.0,9999,0.07593014669931118,38,0.07593014669931118
would,0.0,9999,0.07593014669931118,40,0.07593014669931118
thin,0.0,9999,0.07593014669931118,36,0.07593014669931118
taller,0.0,9999,0.07593014669931118,35,0.07593014669931118
form,0.0,9999,0.07593014669931118,39,0.07593014669931118
layout,0.0,9999,0.07593014669931118,34,0.07593014669931118
sometimes,0.0,9999,0.07593014669931118,37,0.07593014669931118
come,0.0,9999,0.06074411735944894,50,0.06074411735944894
factor,0.0,9999,0.06074411735944894,45,0.06074411735944894
drop,0.0,9999,0.06074411735944894,42,0.06074411735944894
later,0.0,9999,0.06074411735944894,48,0.06074411735944894
hold,0.0,9999,0.06074411735944894,43,0.06074411735944894
hand,0.0,9999,0.06074411735944894,44,0.06074411735944894
looking,0.0,9999,0.06074411735944894,41,0.06074411735944894
power,0.0,9999,0.06074411735944894,47,0.06074411735944894
section,0.0,9999,0.06074411735944894,49,0.06074411735944894
press,0.0,9999,0.06074411735944894,46,0.06074411735944894
