term,score_h1,rank_h1,score_h2,rank_h2,delta_score
first,0.0,9999,0.013841911857461087,18,0.013841911857461087
last,0.0,9999,0.011410105221060713,25,0.011410105221060713
since,0.0,9999,0.010713174647320274,29,0.010713174647320274
battery,0.0,9999,0.009169537584529451,36,0.009169537584529451
plus,0.0,9999,0.008766804092554049,39,0.008766804092554049
much,0.0,9999,0.008706892436254577,40,0.008706892436254577
comment,0.0,9999,0.008637579447713505,41,0.008637579447713505
zacgougeon,0.0,9999,0.008435437246108526,43,0.008435437246108526
even,0.0,9999,0.008276734826035727,46,0.008276734826035727
black,0.0,9999,0.00808428745177614,49,0.00808428745177614
samsung,0.015573380896192916,16,0.020510913073451955,10,0.004937532177259039
people,0.007653573984942358,43,0.012432719745123465,21,0.004779145760181107
phone,0.0324904213637685,4,0.03704522778928531,2,0.004554806425516811
year,0.024072901780436355,9,0.028061307558268557,5,0.003988405777832202
every,0.015307734851996055,17,0.01898602815959894,12,0.003678293307602885
better,0.008125166642195123,33,0.011452199181336496,24,0.0033270325391413728
android,0.01062695562252595,25,0.013950195080799088,17,0.0033232394582731386
make,0.007699216170228538,42,0.010557815678750916,30,0.0028585995085223786
upgrade,0.007890728922747737,39,0.010721943469586472,28,0.0028312145468387343
lol,0.011242058535819426,23,0.013612790600382587,19,0.0023707320645631608
know,0.007991337152849713,37,0.009803756661889552,34,0.001812419509039839
got,0.007285710870987197,47,0.008930948530875385,38,0.0016452376598881874
need,0.010794417134763697,24,0.012376852778771496,22,0.0015824356440077986
see,0.0066921554587571685,49,0.008233416951486088,47,0.0015412614927289197
different,0.0066339312505868395,50,0.008144575092164824,48,0.0015106438415779843
back,0.012007856386400782,20,0.013289957156922372,20,0.0012821007705215905
iphones,0.009001610537383097,30,0.01005545488177357,32,0.0010538443443904727
still,0.01711107767181122,14,0.017861821406452257,13,0.0007507437346410371
buy,0.011793850586023865,21,0.012207872843888731,23,0.0004140222578648666
want,0.008049815490086135,35,0.008408971357818302,44,0.00035915586773216726
would,0.00805645675866574,34,0.008370352631848396,45,0.0003138958731826562
one,0.013856434978530032,18,0.013959169670672384,16,0.00010273469214235227
really,0.007874720602230165,40,0.00796110140436946,50,8.638080213929471e-05
think,0.008934820219155806,31,0.00896716625809471,37,3.2346038938903254e-05
time,0.008496004273487871,32,0.00846441701458801,42,-3.1587258899861206e-05
case,0.010022257786515132,27,0.009771249361086934,35,-0.00025100842542819836
like,0.030822641862567196,5,0.03040031835163863,4,-0.00042232351092856557
model,0.010592702664910041,26,0.009915009797461898,33,-0.0006776928674481434
change,0.011293008334677453,22,0.010532357369535512,31,-0.0007606509651419402
apple,0.03493624240939166,2,0.03399829737807422,3,-0.0009379450313174373
get,0.01750582631797061,13,0.015788691824274042,14,-0.0017171344936965684
look,0.02804663963810694,7,0.026088956305086463,6,-0.0019576833330204775
button,0.021999000404501298,10,0.01919540484984134,11,-0.0028035955546599593
nothing,0.016208711404595354,15,0.01081518908009206,27,-0.005393522324503294
new,0.026608986062133164,8,0.02059255274041892,9,-0.006016433321714244
shit,0.007131113062928798,48,0.0,9999,-0.007131113062928798
max,0.02156648714062448,11,0.01423674081643909,15,-0.00732974632418539
always,0.007525925751396815,46,0.0,9999,-0.007525925751396815
bro,0.007610369329315006,45,0.0,9999,-0.007610369329315006
good,0.0076234747750466,44,0.0,9999,-0.0076234747750466
old,0.007868873210259933,41,0.0,9999,-0.007868873210259933
screen,0.007988531319671333,38,0.0,9999,-0.007988531319671333
clickbait,0.007997966796769385,36,0.0,9999,-0.007997966796769385
camera,0.02930538730511726,6,0.021291127972295317,8,-0.008014259332821943
design,0.019187149277426225,12,0.011040938496809025,26,-0.0081462107806172
boring,0.009109000859601193,29,0.0,9999,-0.009109000859601193
going,0.009788042166846303,28,0.0,9999,-0.009788042166846303
pro,0.03372042233391106,3,0.023697148968954206,7,-0.010023273364956852
iphone,0.06252237264398161,1,0.05164567949651099,1,-0.010876693147470619
video,0.013020361988406103,19,0.0,9999,-0.013020361988406103
